Species,Sample,Chemical,Instrument,Application,good,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_Lit,Koc_Lab,HalfLife_day,HabFac,Hlaw,#frogs
Fowlers toad,FTA5,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.66160154,0.009512997,2.5,69.54711668,0.82668,0.9795,30,0.03,215.68,1.187,NA,1.117517096,0.04,122,200,80,Terrestrial,2.36E-09,1
Gray treefrog,HVA1,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.135050775,0.006247771,2.5,181.6729129,1.56286,2.13844,30,0.03,215.68,1.187,NA,1.756259992,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA2,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.273867259,0.006247771,2.5,203.8914741,1.42737,1.792639,30,0.03,215.68,1.187,NA,1.585750875,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA3,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.613795981,0.006247771,2.5,98.24239256,2.21783,2.76186,30,0.03,215.68,1.187,NA,2.036659213,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA4,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.528536529,0.006247771,2.5,84.59601366,2.86963,3.6308,30,0.03,215.68,1.187,NA,2.386184125,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA5,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.314848577,0.006247771,2.5,50.39374398,1.1115,1.5443,30,0.03,215.68,1.187,NA,1.454582113,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA1,Deisopropyl Atrazine,LCMS,Overspray,1,NA,6.027149291,0.02751004,2.5,219.0890817,2.22041,2.636,30,0.03,215.68,1.187,NA,1.982394093,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA2,Deisopropyl Atrazine,LCMS,Overspray,1,NA,2.933031559,0.02751004,2.5,106.6167702,3.35473,3.8441,30,0.03,215.68,1.187,NA,2.466372803,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA3,Deisopropyl Atrazine,LCMS,Overspray,1,NA,3.243378219,0.02751004,2.5,117.8979848,2.00039,2.3522,30,0.03,215.68,1.187,NA,1.855864195,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA4,Deisopropyl Atrazine,LCMS,Overspray,1,NA,2.605512635,0.02751004,2.5,94.71133748,2.82206,4.3821,30,0.03,215.68,1.187,NA,2.66070452,0.04,122,200,80,Arboreal,2.36E-09,1
