Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
"Dichloroethane, 1,2-",000107-06-2,7.55E-07,8.35E+01,5.33E+00,1.07E+00,1.25E+00,8.57E-02,1.10E-05,4.40E+00,4.82E-02,NA,3.96E+01,4.20E-03,1.48E+00,2.39E-07,-3.55E+01,9.90E+01,NA,1.00E+00,8.60E+03,7.89E+01
"Dichloroethylene, 1,1-",000075-35-4,3.37E-06,3.16E+01,2.24E+00,4.48E-01,1.21E+00,8.63E-02,1.10E-05,1.30E+01,1.07E+00,NA,3.18E+01,1.17E-02,2.13E+00,1.07E-06,-1.23E+02,9.69E+01,NA,1.00E+00,2.42E+03,6.34E+02
"Dichloroethylene, 1,2- (Mixed Isomers)",000540-59-0,3.08E-06,5.50E+01,2.36E+00,4.72E-01,1.27E+00,8.79E-02,1.12E-05,1.11E+01,1.67E-01,NA,3.96E+01,1.10E-02,2.09E+00,9.72E-07,-5.70E+01,9.69E+01,NA,1.00E+00,3.50E+03,2.01E+02
"Dichloroethylene, 1,2-cis-",000156-59-2,1.81E-06,5.50E+01,3.21E+00,6.42E-01,1.28E+00,8.84E-02,1.13E-05,1.11E+01,1.67E-01,NA,3.96E+01,1.10E-02,1.86E+00,5.72E-07,-5.70E+01,9.69E+01,NA,1.00E+00,6.41E+03,2.01E+02
"Dichloroethylene, 1,2-trans-",000156-60-5,3.08E-06,5.50E+01,2.36E+00,4.72E-01,1.26E+00,8.76E-02,1.12E-05,1.11E+01,1.67E-01,NA,3.96E+01,1.10E-02,2.09E+00,9.72E-07,-5.70E+01,9.69E+01,NA,1.00E+00,4.52E+03,2.01E+02
"Dichlorophenol, 2,3-",000576-24-9,1.73E-05,2.06E+02,8.67E-01,1.73E-01,NA,6.37E-02,7.44E-06,1.34E+01,1.95E-05,NA,5.02E+02,1.47E-02,2.84E+00,5.47E-06,5.80E+01,1.63E+02,1.00E-01,1.00E+00,3.60E+03,5.80E-02
"Dichlorophenol, 2,4-",000120-83-2,2.87E-05,2.10E+02,6.47E-01,1.29E-01,1.38E+00,4.86E-02,8.68E-06,3.39E+01,1.75E-04,NA,4.92E+02,2.06E-02,3.06E+00,9.07E-06,4.50E+01,1.63E+02,1.00E-01,1.00E+00,4.50E+03,9.00E-02
"Dichlorophenol, 2,5-",000583-78-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
"Dichlorophenol, 2,6-",000087-65-0,1.41E-05,2.20E+02,9.78E-01,1.96E-01,1.65E+00,5.25E-02,9.66E-06,1.20E+01,1.09E-04,NA,5.02E+02,1.28E-02,2.75E+00,4.44E-06,6.85E+01,1.63E+02,1.00E-01,1.00E+00,1.90E+03,3.30E-02
"Dichlorophenol, 3,4-",000095-77-2,5.34E-05,2.53E+02,4.51E-01,9.02E-02,NA,6.37E-02,7.44E-06,4.86E+01,1.95E-05,NA,4.92E+02,3.11E-02,3.33E+00,1.69E-05,6.80E+01,1.63E+02,1.00E-01,1.00E+00,9.26E+03,3.71E-03
Dichlorophenols (total),000000-04-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Dichlorophenoxy Acetic Acid, 2,4-",000094-75-7,1.61E-05,1.60E+02,9.03E-01,1.81E-01,NA,5.20E-02,6.07E-06,3.16E+00,1.45E-06,NA,2.96E+01,6.64E-03,2.81E+00,5.10E-06,1.41E+02,2.21E+02,5.00E-02,1.00E+00,6.77E+02,8.25E-05
"Dichlorophenoxy)butyric Acid, 4-(2,4-",000094-82-6,8.47E-05,3.24E+02,3.45E-01,6.90E-02,NA,4.80E-02,5.61E-06,3.16E+00,2.40E-07,NA,9.84E+01,1.39E-02,3.53E+00,2.68E-05,1.18E+02,2.49E+02,1.00E-01,1.00E+00,4.60E+01,6.37E-05
"Dichloropropane, 1,2-",000078-87-5,2.39E-06,9.55E+01,2.74E+00,5.47E-01,1.16E+00,7.33E-02,9.73E-06,7.00E+00,1.15E-01,NA,6.07E+01,7.53E-03,1.98E+00,7.54E-07,-1.00E+02,1.13E+02,NA,1.00E+00,2.80E+03,5.33E+01
"Dichloropropane, 1,3-",000142-28-9,2.50E-06,1.21E+02,2.66E+00,5.33E-01,1.18E+00,7.39E-02,9.82E-06,9.70E+00,3.99E-02,NA,7.22E+01,7.76E-03,2.00E+00,7.90E-07,-9.95E+01,1.13E+02,NA,1.00E+00,2.75E+03,1.82E+01
"Dichloropropane, 2,2-",000594-20-7,2.08E-05,6.93E+01,7.80E-01,1.56E-01,NA,8.13E-02,9.50E-06,3.90E+01,6.58E-01,NA,4.39E+01,3.16E-02,2.92E+00,6.57E-06,-3.38E+01,1.13E+02,NA,1.00E+00,1.08E+03,1.35E+02
"Dichloropropanol, 2,3-",000616-23-9,1.51E-07,1.84E+02,1.36E+01,2.72E+00,1.36E+00,6.80E-02,9.89E-06,3.16E+00,1.48E-07,NA,5.57E+00,9.83E-04,7.80E-01,4.76E-08,-2.49E+01,1.29E+02,1.00E-01,1.00E+00,6.08E+04,1.91E-01
"Dichloropropene, 1,3-",000542-75-6,2.68E-06,1.12E+02,2.56E+00,5.12E-01,1.22E+00,7.63E-02,1.01E-05,1.02E+01,1.45E-01,NA,7.22E+01,8.34E-03,2.03E+00,8.47E-07,-5.00E+01,1.11E+02,NA,1.00E+00,2.80E+03,3.40E+01
"Dichloropropene, 2,3-",000078-88-6,6.58E-06,9.40E+01,1.52E+00,3.04E-01,1.21E+00,7.61E-02,1.01E-05,1.85E+01,1.70E-01,NA,6.07E+01,1.53E-02,2.42E+00,2.08E-06,1.00E+01,1.11E+02,1.00E-01,1.00E+00,2.15E+03,6.12E+01
"Dichloropropene, cis-1,3-",010061-01-5,2.87E-06,1.12E+02,2.46E+00,4.92E-01,1.22E+00,7.65E-02,1.02E-05,1.02E+01,1.45E-01,NA,7.22E+01,8.34E-03,2.06E+00,9.07E-07,-5.00E+01,1.11E+02,1.00E-01,1.00E+00,2.18E+03,3.40E+01
"Dichloropropene, trans-1,3-",010061-02-6,2.68E-06,1.12E+02,2.56E+00,5.12E-01,1.22E+00,7.63E-02,1.01E-05,1.02E+01,1.45E-01,NA,7.22E+01,8.34E-03,2.03E+00,8.47E-07,-5.00E+01,1.11E+02,1.00E-01,1.00E+00,2.80E+03,3.40E+01
Dichlorprop,000120-36-5,6.73E-05,3.34E+02,3.95E-01,7.89E-02,NA,4.99E-02,5.83E-06,3.16E+00,4.99E-07,NA,4.85E+01,5.12E-05,3.43E+00,2.13E-05,1.22E+02,2.35E+02,1.00E-01,1.00E+00,3.50E+02,4.65E-07
Dichlorvos,000062-73-7,6.73E-07,2.34E+02,5.70E+00,1.14E+00,1.42E+00,2.79E-02,7.33E-06,5.00E-01,2.35E-05,NA,5.40E+01,8.04E-04,1.43E+00,2.13E-07,-6.00E+01,2.21E+02,1.00E-01,1.00E+00,8.00E+03,1.58E-02
Diclofop-methyl,051338-27-3,1.04E-03,1.76E+02,8.05E-02,1.61E-02,NA,3.89E-02,4.55E-06,5.19E+02,8.05E-05,NA,2.59E+03,2.24E-02,4.62E+00,3.29E-04,4.00E+01,3.41E+02,1.00E-01,1.00E+00,8.00E-01,3.50E-06
Dicofol,000115-32-2,2.62E-03,1.80E+02,4.72E-02,9.44E-03,NA,3.68E-02,4.30E-06,6.10E+03,9.89E-06,NA,1.27E+04,2.83E-02,5.02E+00,8.27E-04,7.75E+01,3.70E+02,1.00E-01,1.00E+00,8.00E-01,3.98E-07
Dicyclohexylamine,000101-83-7,5.86E-04,2.56E+02,1.12E-01,2.25E-02,9.12E-01,3.20E-02,6.34E-06,3.53E+02,2.25E-03,NA,1.73E+02,1.20E-01,4.37E+00,1.85E-04,-1.00E-01,1.81E+02,NA,1.00E+00,1.90E+03,3.38E-02
Dicyclopentadiene,000077-73-6,8.09E-05,1.70E+02,3.55E-01,7.09E-02,9.30E-01,5.57E-02,7.76E-06,2.19E+02,2.56E+00,NA,1.51E+03,3.60E-02,3.51E+00,2.56E-05,3.20E+01,1.32E+02,NA,1.00E+00,1.37E+01,2.29E+00
Didecyl dimethyl ammonium chloride,007173-51-5,NA,5.35E+02,NA,NA,NA,3.74E-02,4.37E-06,NA,2.80E-08,NA,4.85E+05,1.81E-02,4.66E+00,NA,2.29E+02,3.62E+02,1.00E-01,1.00E+00,7.19E-06,2.33E-11
Dieldrin,000060-57-1,6.28E-03,3.30E+02,2.84E-02,5.68E-03,1.75E+00,2.33E-02,6.01E-06,7.48E+03,4.09E-04,NA,2.01E+04,3.26E-02,5.40E+00,1.98E-03,2.26E+02,3.81E+02,1.00E-01,1.00E+00,1.95E-01,3.00E-06
Diepoxybutane,001464-53-5,1.31E-08,1.44E+02,5.60E+01,1.12E+01,NA,9.75E-02,1.14E-05,3.16E+00,1.45E-06,NA,2.53E+00,3.08E-05,-2.80E-01,4.15E-09,4.00E+00,8.61E+01,1.00E-01,1.00E+00,1.00E+06,3.90E+01
Diesel Engine Exhaust,000000-00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Diethanolamine,000111-42-2,9.29E-10,2.69E+02,2.60E+02,5.20E+01,1.10E+00,7.68E-02,9.82E-06,3.16E+00,1.58E-09,NA,1.00E+00,4.51E-05,-1.43E+00,2.94E-10,2.80E+01,1.05E+02,1.00E-01,1.00E+00,1.00E+06,2.80E-04
Diethyl Phthalate,000084-66-2,6.58E-06,2.95E+02,1.52E+00,3.04E-01,1.23E+00,2.61E-02,6.72E-06,1.84E+01,2.49E-05,NA,1.05E+02,3.60E-03,2.42E+00,2.08E-06,-4.05E+01,2.22E+02,1.00E-01,1.00E+00,1.08E+03,2.10E-03
Diethyl sulfate,000064-67-5,3.45E-07,2.08E+02,8.40E+00,1.68E+00,NA,6.61E-02,7.72E-06,2.63E+00,2.51E-04,NA,2.82E+01,1.23E-03,1.14E+00,1.09E-07,-2.40E+01,1.54E+02,1.00E-01,1.00E+00,7.00E+03,2.12E-01
Diethyl-p-nitrophenylphosphate,000311-45-5,2.39E-06,1.61E+02,2.74E+00,5.47E-01,1.27E+00,2.36E-02,6.02E-06,1.41E+00,4.46E-09,NA,1.31E+02,9.26E-04,1.98E+00,7.54E-07,3.00E+02,2.75E+02,1.00E-01,1.00E+00,3.64E+03,1.10E-06
Diethylene Glycol Dinitrate (DEGDN),000693-21-0,2.39E-07,4.40E+01,1.04E+01,2.08E+00,1.38E+00,3.10E-02,7.75E-06,3.16E+00,1.59E-05,NA,3.22E+01,5.57E-04,9.80E-01,7.54E-08,-1.13E+01,1.96E+02,1.00E-01,1.00E+00,3.90E+03,5.90E-03
Diethylene Glycol Monobutyl Ether,000112-34-5,9.08E-08,2.31E+02,1.82E+01,3.64E+00,9.55E-01,4.14E-02,6.97E-06,3.16E+00,2.94E-07,NA,1.00E+01,4.54E-04,5.60E-01,2.87E-08,-6.80E+01,1.62E+02,1.00E-01,1.00E+00,1.00E+06,2.19E-02
Diethylene Glycol Monoethyl Ether,000111-90-0,7.21E-09,1.96E+02,7.92E+01,1.58E+01,9.89E-01,5.62E-02,7.97E-06,3.16E+00,9.12E-07,NA,1.00E+00,1.21E-04,-5.40E-01,2.28E-09,-7.60E+01,1.34E+02,1.00E-01,1.00E+00,1.00E+06,1.26E-01
Diethylene-glycol,000111-46-6,8.47E-10,2.46E+02,2.74E+02,5.48E+01,1.12E+00,7.68E-02,9.89E-06,3.16E+00,1.22E-08,NA,1.00E+00,4.17E-05,-1.47E+00,2.68E-10,-1.04E+01,1.06E+02,1.00E-01,1.00E+00,1.00E+06,5.70E-03
Diethylformamide,000617-84-5,2.81E-08,1.78E+02,3.60E+01,7.20E+00,9.08E-01,7.33E-02,8.98E-06,3.16E+00,5.31E-06,NA,2.06E+00,4.57E-04,5.00E-02,8.86E-09,-7.60E+00,1.01E+02,1.00E-01,1.00E+00,1.00E+06,1.21E+00
Diethylphosphorodithioate,000298-06-6,NA,6.00E+01,NA,NA,1.11E+00,3.27E-02,7.03E-06,5.01E+00,1.52E-02,NA,3.88E+01,4.36E-03,2.24E+00,NA,-1.00E+01,1.86E+02,NA,1.00E+00,6.40E-02,5.83E-02
Diethylstilbestrol,000056-53-1,2.94E-03,4.07E+02,4.41E-02,8.83E-03,NA,4.57E-02,5.34E-06,1.03E+03,2.37E-10,NA,2.74E+05,1.14E-01,5.07E+00,9.28E-04,1.71E+02,2.68E+02,1.00E-01,1.00E+00,1.20E+01,8.64E-09
Difenzoquat,043222-48-6,1.12E-07,5.59E+02,1.62E+01,3.23E+00,NA,3.75E-02,4.38E-06,3.16E+00,NA,NA,7.84E+04,4.02E-05,6.50E-01,3.53E-08,1.57E+02,3.60E+02,1.00E-01,1.00E+00,8.17E+05,3.86E-11
Diflubenzuron,035367-38-5,1.90E-04,5.00E+02,2.16E-01,4.33E-02,NA,4.14E-02,4.84E-06,1.58E+02,1.88E-07,NA,4.63E+02,1.07E-02,3.88E+00,5.99E-05,2.39E+02,3.11E+02,1.00E-01,1.00E+00,8.00E-02,9.00E-10
"Difluoroethane, 1,1-",000075-37-6,1.41E-07,-2.49E+01,1.41E+01,2.83E+00,8.96E-01,1.02E-01,1.15E-05,3.16E+00,8.30E-01,NA,3.18E+01,2.10E-03,7.50E-01,4.44E-08,-1.17E+02,6.61E+01,NA,1.00E+00,3.20E+03,4.55E+03
Diglycidyl resorcinol ether (DGRE),000101-90-6,NA,1.47E+02,NA,NA,1.22E+00,2.59E-02,6.68E-06,3.03E+00,2.19E-08,NA,4.13E+01,5.86E-04,1.23E+00,NA,4.25E+01,2.22E+02,1.00E-01,1.00E+00,2.11E+03,7.82E-04
Dihydrosafrole,000094-58-6,NA,2.28E+02,NA,NA,NA,6.34E-02,7.40E-06,1.08E+02,6.75E+00,NA,2.07E+02,4.52E-02,3.58E+00,NA,4.35E+01,1.64E+02,1.00E-01,1.00E+00,5.77E+00,5.54E-02
Diisopropanolamine,000110-97-4,3.78E-09,2.50E+02,1.15E+02,2.30E+01,NA,7.29E-02,8.51E-06,3.16E+00,7.77E-13,NA,1.00E+00,7.99E-05,-8.20E-01,1.20E-09,4.45E+01,1.33E+02,1.00E-01,1.00E+00,8.60E+05,1.25E-04
Diisopropyl Ether,000108-20-3,8.28E-07,6.85E+01,5.06E+00,1.01E+00,7.19E-01,6.54E-02,7.76E-06,4.68E+00,1.05E-01,NA,2.28E+01,4.28E-03,1.52E+00,2.62E-07,-8.68E+01,1.02E+02,NA,1.00E+00,8.80E+03,1.49E+02
Diisopropyl Methylphosphonate,001445-75-6,2.68E-07,6.60E+01,9.73E+00,1.95E+00,NA,5.96E-02,6.96E-06,2.22E+00,1.79E-03,NA,4.22E+01,7.38E-04,1.03E+00,8.47E-08,-2.38E+01,1.80E+02,NA,1.00E+00,1.50E+03,2.77E-01
Dimagnesium phosphate,007782-75-4,NA,NA,NA,NA,2.12E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.74E+02,NA,1.00E+00,NA,NA
Dimethipin,055290-64-7,1.69E-08,3.42E+02,4.83E+01,9.66E+00,NA,5.37E-02,6.28E-06,3.16E+00,9.40E-10,NA,1.00E+01,7.98E-05,-1.70E-01,5.34E-09,1.65E+02,2.10E+02,1.00E-01,1.00E+00,4.60E+03,3.83E-07
Dimethoate,000060-51-5,1.51E-07,1.17E+02,1.36E+01,2.72E+00,1.28E+00,2.61E-02,6.74E-06,1.60E+00,9.93E-09,NA,1.28E+01,2.67E-04,7.80E-01,4.76E-08,5.20E+01,2.29E+02,1.00E-01,1.00E+00,2.33E+04,1.88E-05
"Dimethoxybenzidine, 3,3'-",000119-90-4,1.61E-06,3.56E+02,3.43E+00,6.87E-01,NA,4.86E-02,5.68E-06,7.27E+00,1.91E-09,NA,5.09E+02,1.06E-03,1.81E+00,5.10E-07,1.37E+02,2.44E+02,1.00E-01,1.00E+00,6.00E+01,7.09E-06
Dimethyl Sulfate,000077-78-1,3.61E-07,1.88E+02,8.18E+00,1.64E+00,1.33E+00,6.92E-02,9.90E-06,3.16E+00,1.64E-04,NA,8.49E+00,3.92E-04,1.16E+00,1.14E-07,-2.70E+01,1.26E+02,1.00E-01,1.00E+00,2.80E+04,6.77E-01
Dimethyl Sulfide,000075-18-3,2.08E-07,3.73E+01,1.13E+01,2.25E+00,8.48E-01,1.04E-01,1.15E-05,3.16E+00,6.58E-02,NA,2.17E+01,2.86E-03,9.20E-01,6.57E-08,-9.83E+01,6.21E+01,NA,1.00E+00,2.20E+04,5.02E+02
Dimethyl methylphosphonate,000756-79-6,6.14E-09,1.81E+02,8.69E+01,1.74E+01,1.17E+00,6.66E-02,9.24E-06,3.16E+00,5.11E-05,NA,5.41E+00,1.24E-04,-6.10E-01,1.94E-09,-4.83E+01,1.24E+02,1.00E-01,1.00E+00,1.00E+06,9.62E-01
Dimethylamino azobenzene [p-],000060-11-7,9.50E-04,3.35E+02,8.49E-02,1.70E-02,NA,5.13E-02,6.00E-06,1.00E+01,9.57E-06,NA,2.03E+03,9.43E-02,4.58E+00,3.00E-04,1.17E+02,2.25E+02,1.00E-01,1.00E+00,2.30E-01,7.00E-08
"Dimethylaniline HCl, 2,4-",021436-96-4,1.20E-06,3.90E+02,4.08E+00,8.17E-01,NA,6.51E-02,7.61E-06,NA,8.79E-12,NA,3.52E+02,2.02E-05,-1.51E+00,3.78E-07,1.57E+02,1.58E+02,1.00E-01,1.00E+00,1.50E+02,6.51E-07
"Dimethylaniline, 2,4-",000095-68-1,1.20E-06,2.14E+02,4.08E+00,8.17E-01,9.72E-01,6.30E-02,8.39E-06,5.96E+00,1.02E-04,NA,1.85E+02,4.28E-03,1.68E+00,3.78E-07,-1.43E+01,1.21E+02,1.00E-01,1.00E+00,2.18E+03,1.33E-01
"Dimethylaniline, N,N-",000121-69-7,5.10E-06,1.93E+02,1.76E+00,3.52E-01,9.56E-01,6.25E-02,8.31E-06,8.00E+00,2.32E-03,NA,7.87E+01,1.12E-02,2.31E+00,1.61E-06,2.50E+00,1.21E+02,NA,1.00E+00,1.45E+03,7.00E-01
"Dimethylbenz(a)anthracene, 7,12-",000057-97-6,1.58E-02,4.22E+02,1.67E-02,3.33E-03,NA,4.71E-02,5.50E-06,3.12E+03,1.54E-04,NA,4.94E+05,4.08E-01,5.80E+00,4.98E-03,1.23E+02,2.56E+02,1.30E-01,1.00E+00,6.10E-02,2.53E-07
"Dimethylbenzidine, 3,3'-",000119-93-7,5.47E-06,3.39E+02,1.69E+00,3.38E-01,NA,5.34E-02,6.24E-06,4.70E+01,3.31E-09,NA,3.19E+03,3.62E-03,2.34E+00,1.73E-06,1.32E+02,2.12E+02,1.00E-01,1.00E+00,1.30E+03,2.06E-05
Dimethylcarbamyl chloride,000079-44-7,NA,1.67E+02,NA,NA,1.17E+00,7.73E-02,1.01E-05,3.16E+00,2.96E-05,NA,1.00E+00,3.91E-04,-7.20E-01,NA,-3.30E+01,1.08E+02,1.00E-01,1.00E+00,1.00E+06,1.95E+00
"Dimethylcyclohexylamine, n,n-",000098-94-2,5.08E-06,1.60E+02,1.76E+00,3.53E-01,NA,7.51E-02,8.78E-06,1.55E+01,9.61E-04,NA,3.60E+01,1.03E-02,2.31E+00,1.61E-06,2.50E+01,1.27E+02,NA,1.00E+00,3.11E+04,2.51E+00
Dimethylethyl Lead,107584-40-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Dimethylformamide,000068-12-2,2.44E-09,1.53E+02,1.48E+02,2.97E+01,9.45E-01,9.72E-02,1.12E-05,8.00E-01,3.02E-06,NA,1.00E+00,1.30E-04,-1.01E+00,7.72E-10,-6.04E+01,7.31E+01,1.00E-01,1.00E+00,1.00E+06,3.87E+00
"Dimethylhydrazine, 1,1-",000057-14-7,1.61E-09,6.39E+01,1.89E+02,3.77E+01,7.91E-01,1.04E-01,1.13E-05,3.16E+00,2.84E-06,NA,1.20E+01,7.27E-05,-1.19E+00,5.10E-10,-5.80E+01,6.01E+01,1.00E-01,1.00E+00,1.00E+06,1.63E+02
"Dimethylhydrazine, 1,2-",000540-73-8,NA,8.10E+01,NA,NA,8.27E-01,1.06E-01,1.16E-05,3.16E+00,2.84E-06,NA,1.49E+01,3.17E-04,-5.40E-01,NA,-9.00E+00,6.01E+01,1.00E-01,1.00E+00,1.00E+06,6.99E+01
Dimethylmercury,000593-74-8,9.73E-06,9.30E+01,1.21E+00,2.42E-01,3.17E+00,3.89E-02,1.16E-05,5.97E+02,8.71E-02,NA,2.17E+01,4.19E-03,2.59E+00,3.07E-06,-4.30E+01,2.31E+02,1.00E-01,1.00E+00,1.68E+04,6.23E+01
Dimethylphenethylamine,000122-09-8,1.99E-06,2.05E+02,3.04E+00,6.09E-01,NA,6.75E-02,7.89E-06,8.33E+00,5.85E-05,NA,1.08E+03,4.17E-03,1.90E+00,6.28E-07,2.90E+01,1.49E+02,1.00E-01,1.00E+00,2.59E+03,2.37E-01
"Dimethylphenol, 2,4-",000105-67-9,4.99E-06,2.11E+02,1.78E+00,3.57E-01,9.65E-01,6.22E-02,8.31E-06,1.53E+01,3.89E-05,NA,4.92E+02,1.09E-02,2.30E+00,1.58E-06,2.45E+01,1.22E+02,1.00E-01,1.00E+00,7.87E+03,1.02E-01
"Dimethylphenol, 2,6-",000576-26-1,5.73E-06,2.01E+02,1.65E+00,3.29E-01,NA,7.72E-02,9.02E-06,1.68E+01,2.72E-04,NA,5.02E+02,1.20E-02,2.36E+00,1.81E-06,4.57E+01,1.22E+02,1.00E-01,1.00E+00,6.05E+03,1.71E-01
"Dimethylphenol, 3,4-",000095-65-8,4.25E-06,2.27E+02,1.96E+00,3.92E-01,9.83E-01,6.28E-02,8.41E-06,1.38E+01,1.70E-05,NA,4.92E+02,9.80E-03,2.23E+00,1.34E-06,6.08E+01,1.22E+02,1.00E-01,1.00E+00,4.76E+03,3.56E-02
Dimethylphthalate,000131-11-3,9.95E-07,2.84E+02,4.54E+00,9.09E-01,1.19E+00,2.99E-02,7.14E-06,5.28E+00,8.05E-06,NA,3.16E+01,1.47E-03,1.60E+00,3.15E-07,5.50E+00,1.94E+02,1.00E-01,1.00E+00,4.00E+03,3.08E-03
Dimethylterephthalate,000120-61-6,4.45E-06,2.88E+02,1.91E+00,3.81E-01,1.08E+00,2.85E-02,6.72E-06,1.42E+01,5.48E-03,NA,3.10E+01,3.99E-03,2.25E+00,1.40E-06,1.41E+02,1.94E+02,NA,1.00E+00,1.90E+01,1.00E-02
Dimethylvinylchloride,000513-37-1,NA,6.80E+01,NA,NA,9.19E-01,8.12E-02,9.66E-06,2.35E+01,3.31E+00,NA,6.07E+01,2.53E-02,2.58E+00,NA,-1.03E+02,9.06E+01,1.00E-01,1.00E+00,1.00E+03,1.54E+02
"Dinitro-o-cresol, 4,6-",000534-52-1,3.37E-06,3.78E+02,2.24E+00,4.48E-01,NA,5.59E-02,6.53E-06,2.88E+00,5.72E-05,NA,7.54E+02,3.15E-03,2.13E+00,1.07E-06,8.66E+01,1.98E+02,1.00E-01,1.00E+00,1.98E+02,1.20E-04
"Dinitro-o-cyclohexyl Phenol, 4,6-",000131-89-5,3.30E-04,4.07E+02,1.57E-01,3.14E-02,NA,4.59E-02,5.36E-06,2.43E+02,1.38E-09,NA,1.65E+04,2.75E-02,4.12E+00,1.04E-04,1.07E+02,2.66E+02,1.00E-01,1.00E+00,1.50E+01,1.75E-07
"Dinitroaniline, 3,5-",000618-87-1,1.94E-06,3.40E+02,3.09E+00,6.17E-01,1.60E+00,4.03E-02,8.84E-06,8.20E+00,6.17E-09,NA,1.69E+02,2.65E-03,1.89E+00,6.13E-07,1.63E+02,1.83E+02,1.00E-01,1.00E+00,9.95E+02,8.54E-06
"Dinitrobenzene, 1,2-",000528-29-0,1.22E-06,3.18E+02,4.03E+00,8.06E-01,1.31E+00,4.47E-02,8.25E-06,1.45E+01,2.18E-06,NA,3.59E+02,2.37E-03,1.69E+00,3.87E-07,1.19E+02,1.68E+02,1.00E-01,1.00E+00,1.33E+02,4.55E-05
"Dinitrobenzene, 1,3-",000099-65-0,7.73E-07,2.91E+02,5.26E+00,1.05E+00,1.58E+00,4.85E-02,9.21E-06,5.93E+00,2.00E-06,NA,3.52E+02,1.74E-03,1.49E+00,2.44E-07,9.00E+01,1.68E+02,1.00E-01,1.00E+00,5.33E+02,9.00E-04
"Dinitrobenzene, 1,4-",000100-25-4,7.21E-07,2.97E+02,5.48E+00,1.10E+00,1.63E+00,4.92E-02,9.38E-06,4.27E+00,1.51E-05,NA,3.52E+02,1.67E-03,1.46E+00,2.28E-07,1.74E+02,1.68E+02,1.00E-01,1.00E+00,6.90E+01,6.54E-05
"Dinitrophenol, 2,4-",000051-28-5,1.17E-06,3.32E+02,4.14E+00,8.28E-01,1.68E+00,4.07E-02,9.08E-06,3.72E+00,3.52E-06,NA,4.61E+02,1.87E-03,1.67E+00,3.70E-07,1.16E+02,1.84E+02,1.00E-01,1.00E+00,2.79E+03,3.90E-04
Dinitrophenols,025550-58-7,5.86E-07,3.32E+02,6.18E+00,1.24E+00,NA,5.87E-02,6.86E-06,3.72E+00,1.86E-09,NA,4.70E+02,1.18E-03,1.37E+00,1.85E-07,6.35E+01,1.84E+02,1.00E-01,1.00E+00,5.60E+00,4.41E-05
"Dinitropyrene, 1,6-",042397-64-8,NA,4.83E+02,NA,NA,NA,4.31E-02,5.04E-06,4.80E+02,8.30E-09,NA,1.37E+05,3.90E-02,4.57E+00,NA,3.00E+02,2.92E+02,1.30E-01,1.00E+00,2.12E-02,9.11E-10
"Dinitropyrene, 1,8-",042397-65-9,NA,4.83E+02,NA,NA,NA,4.31E-02,5.04E-06,4.80E+02,8.30E-09,NA,1.37E+05,3.90E-02,4.57E+00,NA,3.00E+02,2.92E+02,1.30E-01,1.00E+00,2.12E-02,9.11E-10
"Dinitrosopentamethylenetetramine, N,N-",000101-25-7,4.94E-10,3.76E+02,3.75E+02,7.50E+01,NA,5.83E-02,6.81E-06,3.16E+00,2.02E-04,NA,5.80E+01,1.04E-05,-1.70E+00,1.56E-10,2.04E+02,1.86E+02,1.00E-01,1.00E+00,5.70E-03,8.92E-07
"Dinitrotoluene Mixture, 2,4/2,6-",025321-14-6,3.78E-06,2.84E+02,2.09E+00,4.19E-01,NA,5.91E-02,6.91E-06,NA,1.62E-05,NA,5.87E+02,4.16E-03,2.18E+00,1.20E-06,6.00E+01,1.82E+02,1.00E-01,1.00E+00,2.70E+02,2.15E-03
"Dinitrotoluene, 2,4-",000121-14-2,2.39E-06,3.00E+02,2.74E+00,5.47E-01,1.32E+00,3.75E-02,7.90E-06,9.15E+00,2.21E-06,NA,5.76E+02,3.08E-03,1.98E+00,7.54E-07,7.10E+01,1.82E+02,1.02E-01,1.00E+00,2.00E+02,1.47E-04
